line	path	methods	auth
19560	/admin/sync-golgg-objectives	POST,GET	REQUIRE_ADMIN
19623	/admin/sync-golgg-matches	POST,GET	REQUIRE_ADMIN
19653	/admin/kills-calibration	GET/ANY	REQUIRE_ADMIN
19670	/admin/health-overview	GET/ANY	REQUIRE_ADMIN
19767	/admin/scenarios	GET/ANY	REQUIRE_ADMIN
19874	/admin/real-pl	GET/ANY	REQUIRE_ADMIN
19955	/admin/errors	GET/ANY	REQUIRE_ADMIN
19983	/admin/feed-health	GET/ANY	REQUIRE_ADMIN
19994	/admin/oe-status	GET/ANY	REQUIRE_ADMIN
20036	/admin/mt-brier-history	GET/ANY	REQUIRE_ADMIN
20122	/admin/mt-calib-validation	GET/ANY	REQUIRE_ADMIN
20199	/admin/super-odd-events	GET/ANY	REQUIRE_ADMIN
20212	/admin/stale-line-events	GET/ANY	REQUIRE_ADMIN
20225	/admin/book-bug-events	GET/ANY	REQUIRE_ADMIN
20244	/admin/scraper-health	GET/ANY	REQUIRE_ADMIN
20258	/admin/scraper-debug-snapshots	GET/ANY	REQUIRE_ADMIN
20274	/admin/scraper-debug-snapshot	GET/ANY	REQUIRE_ADMIN
20291	/admin/br-edges-now	GET/ANY	REQUIRE_ADMIN
20311	/admin/casa-scorecard	GET/ANY	REQUIRE_ADMIN
20383	/admin/bookmaker-deltas	GET/ANY	REQUIRE_ADMIN
20415	/admin/refresh-isotonics	GET/ANY	REQUIRE_ADMIN
20449	/admin/rollback-model	GET/ANY	REQUIRE_ADMIN
20500	/admin/set-tip-clv	POST	REQUIRE_ADMIN
20537	/admin/clv-capture-trace	GET/ANY	REQUIRE_ADMIN
20585	/admin/clv-by-book	GET/ANY	REQUIRE_ADMIN
20645	/admin/clv-leak	GET/ANY	REQUIRE_ADMIN
20645	/admin/clv-coverage	GET/ANY	REQUIRE_ADMIN
20672	/admin/clv-leak	GET/ANY	NONE
20771	/bankroll-audit	GET/ANY	NONE
20842	/admin/rebuild-tip-reais	POST	REQUIRE_ADMIN
20923	/archive-fuzzy-duplicates	POST	REQUIRE_ADMIN
21028	/admin/tip-archive	POST,GET	REQUIRE_ADMIN
21147	/archive-cross-bucket-duplicates	POST	REQUIRE_ADMIN
21187	/void-market-tips-duplicates	POST	REQUIRE_ADMIN
21226	/void-market-tips-by-criteria	POST	REQUIRE_ADMIN
21264	/admin/upsert-match-result	POST	REQUIRE_ADMIN
21295	/admin/void-tips-batch	POST	REQUIRE_ADMIN
21342	/admin/restore-voided-market-tips	POST	REQUIRE_ADMIN
21357	/admin/unsettle-market-tips	POST	REQUIRE_ADMIN
21378	/admin/void-orphan-market-tips	POST,GET	ADMIN_HEADER_OR_QUERY
21446	/admin/mt-unvoid-recent	POST,GET	ADMIN_HEADER_OR_QUERY
21488	/admin/mt-promote-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
21551	/admin/mt-pending-trace	GET/ANY	ADMIN_HEADER_OR_QUERY
21703	/admin/mt-resettle-tennis-handicap	POST,GET	ADMIN_HEADER_OR_QUERY
21752	/admin/mt-resettle-suspects	POST,GET	ADMIN_HEADER_OR_QUERY
21816	/admin/mt-tips-suspect	GET/ANY	ADMIN_HEADER_OR_QUERY
21884	/admin/unsettle-tip-by-id	POST,GET	ADMIN_HEADER_OR_QUERY
21922	/admin/mt-settle-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
22014	/admin/mt-promote	POST,GET	ADMIN_HEADER_OR_QUERY
22046	/admin/mt-auto-promote	GET/ANY	ADMIN_HEADER_OR_QUERY
22099	/admin/ml-auto-promote	GET/ANY	ADMIN_HEADER_OR_QUERY
22168	/admin/mt-promote-status	GET/ANY	ADMIN_HEADER_OR_QUERY
22192	/admin/mt-market-promote-status	GET/ANY	ADMIN_HEADER_OR_QUERY
22217	/admin/mt-market-promote-set	POST,GET	ADMIN_HEADER_OR_QUERY
22238	/admin/tips-clv-clean-suspect	POST,GET	REQUIRE_ADMIN
22287	/admin/clv-clean-suspect	POST,GET	REQUIRE_ADMIN
22327	/admin/auto-shadow-reset	POST,GET	REQUIRE_ADMIN
22345	/league-trust	GET/ANY	REQUIRE_ADMIN
22382	/leak-radar	GET/ANY	REQUIRE_ADMIN
22482	/admin/mt-disable	POST,GET	REQUIRE_ADMIN
22533	/admin/mt-restore	POST,GET	REQUIRE_ADMIN
22569	/admin/mt-permanent-list	GET,POST	REQUIRE_ADMIN
22589	/admin/mt-permanent-add	POST,GET	REQUIRE_ADMIN
22611	/admin/mt-permanent-remove	POST,GET	REQUIRE_ADMIN
22635	/admin/mt-block-league	POST,GET	REQUIRE_ADMIN
22664	/admin/mt-unblock-league	POST,GET	REQUIRE_ADMIN
22688	/admin/mt-block-tier-leagues	POST,GET	REQUIRE_ADMIN
22738	/admin/mt-enable	POST,GET	REQUIRE_ADMIN
